country,iso_code,year,literacy_rate,primary_enrolment,pct_below_3_per_day,pct_below_4_per_day,pct_below_5_per_day,pct_below_6_per_day,pct_below_7_per_day,pct_below_8_per_day,pct_below_9_per_day,pct_below_10_per_day
Jamaica,JAM,1999,80.0,88.1164,5.7215,11.9676,19.4357,27.2092,34.9827,42.7562,49.6144,56.0804
Rwanda,RWA,2000,65.0,,82.3138,88.4911,91.0184,92.6333,94.2481,95.863,96.7027,97.2103
Eswatini,SWZ,2000,82.0,,64.9914,74.7133,79.3297,82.6698,86.0098,89.3499,91.2051,92.4238
Mauritania,MRT,2000,51.0,59.3544,30.6716,46.1099,55.7518,63.9446,72.1374,80.3302,84.9797,88.1107
Venezuela,VEN,2001,93.0,92.2608,14.7385,23.2368,30.8631,38.2714,45.6796,53.0879,58.9407,64.1269
Nigeria,NGA,2003,55.0,,51.097,66.2209,73.7961,79.4841,85.1721,90.8601,93.7631,95.4725
Ethiopia,ETH,2004,36.0,47.1249,41.3288,65.1562,74.9574,81.252,87.5466,93.8413,96.3885,97.3296
Nicaragua,NIC,2005,78.0,99.0473,16.498,28.8604,37.9889,46.3089,54.6288,62.9488,68.7568,73.4881
Congo,COG,2005,76.0,50.2602,54.4529,66.5682,72.8832,77.7481,82.613,87.4779,90.4094,92.5124
East Timor,TLS,2007,51.0,,60.1259,78.2483,85.1096,89.1556,93.2016,97.2475,98.7534,99.1708
Cameroon,CMR,2007,71.0,,36.0154,50.4742,59.0715,66.2034,73.3352,80.4671,84.7411,87.7902
South Korea,KOR,2008,98.0,99.8372,0.4755,0.6972,1.035,1.402,1.7689,2.1358,2.864,3.7471
Kyrgyzstan,KGZ,2009,99.0,93.4272,9.8148,27.7412,40.8453,52.744,64.6426,76.5412,83.2491,87.7324
Kazakhstan,KAZ,2009,100.0,92.945,0.7766,3.6476,11.8101,21.2956,30.7812,40.2667,49.3966,58.3741
Greece,GRC,2009,94.0,,0.6387,0.672,0.9742,1.3437,1.7131,2.0826,2.5731,3.1155
Russia,RUS,2010,100.0,,0.1923,0.6369,2.1706,3.9767,5.7827,7.5887,10.4946,13.8718
Zambia,ZMB,2010,83.0,88.3426,71.3672,79.7221,83.7536,86.7043,89.655,92.6057,94.1813,95.1677
Jordan,JOR,2010,93.0,88.447,0.1041,0.779,3.7219,7.2319,10.7418,14.2518,19.9468,26.5783
Costa Rica,CRI,2011,97.0,96.9673,2.7239,4.7757,8.0326,11.5908,15.149,18.7072,22.7729,27.0561
Cyprus,CYP,2011,99.0,99.8468,0.0321,0.0321,0.0899,0.1621,0.2343,0.3065,0.3519,0.386
Latvia,LVA,2011,100.0,99.2333,1.6572,3.0712,5.3785,7.9091,10.4397,12.9703,15.9719,19.1754
Lithuania,LTU,2011,100.0,,0.8903,1.4795,3.0185,4.7949,6.5714,8.3478,10.8314,13.618
Malta,MLT,2011,93.0,99.9473,0.2097,0.3525,0.4495,0.5352,0.6209,0.7065,0.7835,0.8567
Portugal,PRT,2011,94.0,99.9906,0.6236,0.8955,1.6914,2.6184,3.5454,4.4723,5.6811,7.0105
Bulgaria,BGR,2011,98.0,98.5174,3.4488,5.2863,7.8648,10.6286,13.3924,16.1562,19.8258,23.8838
Estonia,EST,2011,100.0,,1.1561,1.6538,2.6008,3.66,4.7193,5.7785,7.4501,9.3841
Mauritius,MUS,2012,92.0,92.3364,1.0737,3.0299,7.8687,13.4281,18.9875,24.5469,30.9057,37.607
Iraq,IRQ,2012,77.0,,0.5591,2.7047,8.7646,15.8031,22.8416,29.8801,37.8246,46.1573
Democratic Republic of Congo,COD,2012,75.0,,78.9008,86.9616,90.3841,92.647,94.91,97.1729,98.2256,98.7597
South Africa,ZAF,2014,94.0,,31.2106,42.2705,48.7188,54.0141,59.3094,64.6047,68.1684,70.9899
Moldova,MDA,2014,99.0,99.7953,0.005,0.5439,4.6983,9.7566,14.8149,19.8732,27.3662,35.9026
Guatemala,GTM,2014,81.0,90.5435,7.9611,15.3804,22.3133,29.1246,35.9358,42.747,48.8638,54.683
Cape Verde,CPV,2015,87.0,95.1361,14.604,27.1734,36.5769,45.1889,53.8009,62.4129,68.3789,73.211
Togo,TGO,2015,64.0,92.2592,61.4656,73.6094,79.5879,84.0252,88.4625,92.8997,95.2101,96.6088
Philippines,PHL,2015,98.0,89.4428,18.9389,34.5686,44.6777,53.4066,62.1355,70.8644,76.4864,80.7769
